MainFrame	SubFrame	Name	DurationDays	OpenDay	OpenTime	NewMaxLevel	NotLockFrame
	OpenLevel189Add50	Mở giới hạn Lv189 50 ngày		1	400		
	OpenLevel189Add55	Mở giới hạn Lv189 55 ngày		1	400		
	OpenLevel189Add17	Quà Mỗi Ngày mở Đá Hồn Phong Chính Nam		1	400		1
	OpenLevel189Add90	Mở tối đa Lv189 được 90 ngày		1	400		
OpenLevel199		Cấp tối đa 199	16		400	199	
	OpenLevel189Add26	Mở Đá Hồn Công Tôn Khai Dương bày bán		1	400		
	OpenLevel199Add50_1	Mở giới hạn Lv199 50 ngày		1	400		
	OpenLevel199Add50	Quà Mỗi Ngày mở Đá Hồn Trần Đại Thông		1	400		1
	OpenLevel199Add60	Mở giới hạn Lv199 60 ngày		1	400		
	OpenLevel199Add90	Mở giới hạn Lv199 90 ngày		1	400		
OpenLevel209		Giới hạn Lv209 (Tông Sư Lv9)	16		400	209	
	OpenLevel199Add39	Mở bán Đá Hồn Nguyên Thiên Xu		1	400		
	OpenLevel209Add44	Quà Mỗi Ngày mở Đá Hồn Lâm Phong Đường		1	400		1
	OpenLevel209Add50	Mở giới hạn Lv209 50 ngày		1	400		
	OpenLevel209Add60	Mở giới hạn Lv209 60 ngày		1	400		
	OpenLevel209Add32	Mở bày bán Đá Hồn Phong Chính Nam		1	400		
OpenLevel219		Giới hạn Lv219 (Tông Sư Lv19)	16		400	219	
	OpenLevel219Add35	Quà Mỗi Ngàymở Đá Hồn Đoàn Chính Hưng		1	400		1
	OpenLevel219Add50	Mở giới hạn Lv219 50 ngày		1	400		
	OpenLevel219Add60	Mở giới hạn Lv219 60 ngày		1	400		
	OpenLevel219Add71	Mở bày bán Đá Hồn Trần Đại Thông		1	400		
OpenLevel229		Giới hạn Lv229 (Tông Sư Lv29)	16		400	229	
	OpenLevel229Add26	Quà Mỗi Ngày mở Đá Hồn Chu Chấn Uy		1	400		1
	OpenLevel229Add55	Mở giới hạn Lv229 55 ngày		1	400		
	OpenLevel229Add59	Mở bán Đá Hồn Lâm Phong Đường		1	400		
	OpenLevel229Add60	Mở giới hạn Lv229 60 ngày		1	400		
OpenLevel239		Giới Hạn (Tông Sư Lv39) Lv239	16		400	239	
	OpenLevel239Add11	Quà Mỗi Ngày mở Đá Hồn Ngô Chính Vượng		1	400		1
	OpenLevel239Add56	Mở bày bán Đá Hồn Ân Chính Hưng		1	400		
	OpenLevel239Add60	Mở giới hạn Lv239 60 ngày		1	400		
OpenLevel249		Giới Hạn (Tông Sư Lv49) Lv249	16		400	249	
	OpenLevel249Add31	Mở bày bán Đá Hồn Chu Chấn Uy		1	400		
	OpenLevel249Add60	Mở Lv249 giới hạn 60 ngày		1	400		
OpenLevel259		Giới hạn Lv259 (Tông Sư Lv59)	16		400	259	
	OpenLevel259Add60	Mở giới hạn Lv259 60 ngày		1	400		
OpenLevel269		Giới Hạn (Tông Sư Lv69) Lv269	16		400	269	
	OpenLevel269Add60	Mở giới hạn Lv269 60 ngày		1	400		
OpenLevel279		Giới Hạn (Tông Sư Lv79) Lv279	16		400	279	
	OpenLevel279Add34	Mở sạp Đá Hồn Thương Lân Cù Long		1	400		
	OpenLevel279Add60	Mở giới hạn Lv269 60 ngày		1	400		
OpenLevel289		Giới Hạn (Tông Sư Lv89) Lv289	16		400	289	
	OpenLevel289Add60	Giới hạn Lv289 (Tông Sư Lv89)		1	400		
OpenLevel299		Giới Hạn (Tông Sư Lv99) Lv299	16		400	299	
	OpenLevel299Add60	Mở giới hạn Lv299 60 ngày		1	400		
OpenLevel309		Giới Hạn (Thái Đẩu Lv9) Lv309	999		400	309	
	OpenDay720	Tạm không có tác dụng, chỉ dùng để ẩn quân hàm không cho người chơi tiếp cận		999	400		
	OpenSecretFuben			1	400		
	OpenLiuJun	Linh Sơn Chiến		1	400		1
